category,lat,lon,x_m_from_SW,y_m_from_SW,depth_m,weed_m,fish_rate,n_pings,dist_from_swim_m,bearing_from_swim
gold,51.745166928677946,-1.434345554031348,72.0,72.0,0.7382439024390244,0.03140783228852059,0.14634146341463414,82.0,12.84772879631483,258.30609083639825
gold,51.74486062237164,-1.4347820630191028,42.0,38.0,1.4476785714285714,0.008795401615380803,0.14285714285714285,28.0,56.15159276727938,229.3166134740438
gold,51.745076838587856,-1.4350730690109392,22.0,62.0,1.3561724137931035,0.04664681186981951,0.13793103448275862,29.0,63.83769348692005,258.6127904084791
gold,51.745076838587856,-1.434345554031348,72.0,62.0,1.023593220338983,0.019165534959464305,0.13559322033898305,59.0,17.80855160751617,224.94778274143727
gold,51.74513089264191,-1.434432855828899,66.0,68.0,1.0106444444444445,0.019462750992407598,0.13333333333333333,90.0,19.719763619321295,250.43394399509086
gold,51.745166928677946,-1.4340836486386952,90.0,72.0,0.7171911764705882,0.008926567505253922,0.1323529411764706,68.0,6.012134350594433,115.66618275043635
gold,51.74514891065993,-1.4342291516346135,80.0,70.0,0.897892561983471,0.009158847963123811,0.1322314049586777,121.0,6.49485599154108,224.85682290966608
gold,51.74514891065993,-1.434578358824817,56.0,70.0,0.9652173913043478,0.024808095431992642,0.13043478260869565,23.0,28.94951333009941,260.8490454175995
gold,51.745166928677946,-1.4343164534321644,74.0,72.0,0.7684752475247525,0.00273024180669888,0.12871287128712872,101.0,10.89678260996161,256.17416394125377
gold,51.745184946695964,-1.4345492582256336,58.0,74.0,0.98025,0.049427679500520294,0.125,8.0,26.58792786249324,268.6982549673114
gold,51.74511287462389,-1.4339963468411443,96.0,66.0,1.0432599999999999,0.03388831078737426,0.12,50.0,14.297593944620772,126.99755099410939
gold,51.745094856605874,-1.434170950436246,84.0,64.0,1.0828709677419355,0.04611758211838773,0.11827956989247312,93.0,10.61992709397817,183.13648695732192
